Longitude,Latitude,Pixel,Scan
223.05262,-89.2022215,1900,600
223.114614,-89.2022313,2000,600
223.176619,-89.2022402,2100,600
223.238635,-89.2022481,2200,600
223.300662,-89.202255,2300,600
223.362699,-89.2022611,2400,600
223.424746,-89.2022662,2500,600
223.486804,-89.2022704,2600,600
223.548872,-89.2022736,2700,600
223.610949,-89.2022759,2800,600
223.673036,-89.2022772,2900,600
223.735133,-89.2022776,3000,600
223.797239,-89.2022771,3100,600
223.859355,-89.2022756,3200,600
223.92148,-89.2022732,3300,600
223.983613,-89.2022699,3400,600
224.045756,-89.2022656,3500,600
224.107908,-89.2022604,3600,600
224.170068,-89.2022542,3700,600
224.232236,-89.2022471,3800,600
224.294413,-89.202239,3900,600
224.356598,-89.20223,4000,600
224.418791,-89.2022201,4100,600
224.480992,-89.2022092,4200,600
224.5432,-89.2021973,4300,600
224.605416,-89.2021845,4400,600
224.66764,-89.2021708,4500,600
224.729871,-89.2021561,4600,600
224.792109,-89.2021405,4700,600
224.854354,-89.202124,4800,600
224.916606,-89.2021064,4900,600
224.978864,-89.202088,5000,600
225.041129,-89.2020686,5100,600
225.103401,-89.2020482,5200,600
225.165679,-89.2020269,5300,600
225.227963,-89.2020047,5400,600
225.290253,-89.2019815,5500,600
225.352549,-89.2019573,5600,600
225.41485,-89.2019322,5700,600
225.477157,-89.2019062,5800,600
225.53947,-89.2018792,5900,600
225.601787,-89.2018512,6000,600
225.66411,-89.2018223,6100,600
225.726438,-89.2017925,6200,600
225.78877,-89.2017617,6300,600
225.851107,-89.2017299,6400,600
225.913449,-89.2016972,6500,600
225.975795,-89.2016635,6600,600
226.038146,-89.2016289,6700,600
226.1005,-89.2015933,6800,600
226.162858,-89.2015568,6900,600
226.22522,-89.2015193,7000,600
226.287586,-89.2014809,7100,600
226.349955,-89.2014415,7200,600
226.412328,-89.2014012,7300,600
226.474704,-89.2013599,7400,600
226.537083,-89.2013176,7500,600
226.599464,-89.2012744,7600,600
226.661849,-89.2012303,7700,600
226.724236,-89.2011851,7800,600
226.786625,-89.2011391,7900,600
226.849017,-89.201092,8000,600
226.911411,-89.201044,8100,600
226.973807,-89.2009951,8200,600
227.036205,-89.2009452,8300,600
227.098604,-89.2008943,8400,600
227.161006,-89.2008425,8500,600
227.223408,-89.2007897,8600,600
227.285812,-89.200736,8700,600
227.348217,-89.2006813,8800,600
227.410623,-89.2006256,8900,600
227.47303,-89.200569,9000,600
227.535437,-89.2005114,9100,600
227.597845,-89.2004529,9200,600
227.660253,-89.2003934,9300,600
227.722662,-89.2003329,9400,600
227.785071,-89.2002715,9500,600
227.847479,-89.2002091,9600,600
227.909888,-89.2001458,9700,600
227.972296,-89.2000815,9800,600
228.034703,-89.2000162,9900,600
228.09711,-89.19995,10000,600
